,title,date_list,critic_sentiment,critic_score,audience_setiment,audience_score
5721,Boy A,"Streaming Aug 10, 2016",positive,88%,positive,87%
5722,Coming 2 America,"Streaming Mar 5, 2021",negative,49%,negative,38%
5723,Fail-Safe,"Streaming Apr 16, 2012",positive,93%,positive,91%
5724,Grace by Night,"Streaming Oct 15, 2024",,,,
5725,Here Today,"Streaming Jul 20, 2021",negative,46%,positive,93%
5726,Housekeeping for Beginners,"Streaming May 7, 2024",positive,93%,negative,58%
5727,King Arthur,"Streaming Aug 10, 2016",negative,30%,negative,59%
5728,My Mother,"Streaming Mar 13, 2017",negative,16%,negative,48%
5729,Once Upon a Time in Queens,"Streaming May 12, 2015",,,negative,47%
5730,Patton,"Streaming Nov 25, 2015",positive,92%,positive,93%
5731,Playing With Fire,"Streaming Nov 8, 2019",negative,24%,positive,77%
5732,Strange Wilderness,"Streaming Jun 15, 2011",negative,2%,negative,35%
5733,The Adventures of Robin Hood,"Streaming Jul 28, 2008",positive,100%,positive,89%
5734,The Caine Mutiny Court-Martial,"Streaming Oct 6, 2023",positive,95%,positive,74%
5735,The Holy Mountain,"Streaming Aug 10, 2016",positive,84%,positive,88%
5736,The Hot Spot,"Streaming Jan 3, 2021",positive,71%,negative,49%
5737,The Man Standing Next,"Streaming May 19, 2020",positive,80%,positive,100%
5738,The Missing,"Streaming Mar 17, 2016",negative,58%,negative,51%
5739,The Night of the 12th,"Streaming Aug 1, 2023",positive,94%,positive,94%
5740,What a Girl Wants,"Streaming Sep 28, 2011",negative,36%,positive,62%
5741,8-Bit Christmas,"Streaming Nov 24, 2021",positive,84%,positive,75%
5742,Altered States,"Streaming May 1, 2008",positive,85%,positive,71%
5743,Amy,"Streaming Jul 27, 2016",positive,96%,positive,87%
5744,Bad Trip,"Streaming Mar 26, 2021",positive,80%,positive,75%
5745,Bedazzled,"Streaming Mar 1, 2013",negative,50%,negative,43%
5746,Black Mountain Side,"Streaming Apr 26, 2016",positive,80%,negative,37%
5747,Blackhat,"Streaming May 17, 2016",negative,33%,negative,25%
5748,Dead Calm,"Streaming Jan 1, 2008",positive,84%,positive,63%
5749,For Your Eyes Only,"Streaming Oct 1, 2016",positive,69%,positive,64%
5750,Hidalgo,"Streaming Mar 1, 2016",negative,46%,positive,64%
5751,Malice,"Streaming Apr 27, 2017",negative,55%,negative,46%
5752,Moonage Daydream,"Streaming Apr 29, 2023",positive,92%,positive,75%
5753,Selena Gomez: My Mind and Me,"Streaming Nov 4, 2022",positive,97%,positive,93%
5754,Self/less,"Streaming Aug 16, 2016",negative,18%,negative,46%
5755,The 33,"Streaming Oct 22, 2016",negative,48%,negative,59%
5756,The House,"Streaming Jul 10, 2017",negative,20%,negative,35%
5757,The Woods,"Streaming Oct 7, 2016",positive,67%,negative,37%
5758,Vacancy 2: The First Cut,"Streaming Jun 1, 2012",,,negative,21%
5759,Weekend,"Streaming Sep 27, 2016",positive,95%,positive,86%
5760,Without Warning,"Streaming Oct 3, 2017",,,positive,75%
5761,Wrath of the Titans,"Streaming Oct 6, 2012",negative,26%,negative,49%
5762,"""Sr.""","Streaming Dec 2, 2022",positive,97%,positive,90%
5763,Chained,"Streaming Oct 3, 2013",positive,60%,negative,54%
5764,Complete Unknown,"Streaming Oct 4, 2016",negative,52%,negative,25%
5765,Cyrus,"Streaming Nov 25, 2015",positive,80%,negative,53%
5766,FernGully ... the Last Rainforest,"Streaming Nov 25, 2015",positive,67%,positive,64%
5767,Finding Forrester,"Streaming May 1, 2013",positive,74%,positive,79%
5768,Husbands and Wives,"Streaming Oct 12, 2010",positive,93%,positive,87%
5769,If Anything Happens I Love You,"Streaming Nov 20, 2020",positive,100%,positive,93%
5770,Into the Storm,"Streaming Oct 28, 2014",negative,21%,negative,41%
5771,Jane Got a Gun,"Streaming Jan 11, 2017",negative,42%,negative,38%
5772,Jonah,"Streaming Mar 12, 2024",,,positive,62%
