Distributor,Genre,Original Language,Release Date (Streaming),Runtime,Director,Producer,Production Co,Rating,Screenwriter,Release Date (DVD),Release Date (Theaters),Sound Mix,Aspect Ratio,Box Office (Gross USA),Rerelease Date (Theaters),Creator,title
One Tree Entertainment,"Comedy,Romance,LGBTQ+",English,"Oct 1, 2024",1h 16m,David Lewis,"Frazer Bradshaw,Charles Grande,David Lewis,Matthew Montgomery",Peculiar Película,PG (Rude Humor|Some Thematic Elements),David Lewis,"Sep 30, 2003","Jun 18, 2022, Limited",Dolby,Scope (2.35:1),$180.1K,"Feb 18, 2006","Scott ""Kid Cudi"" Mescudi,Kenya Barris",Mosul
One Tree Entertainment,"Comedy,Romance,LGBTQ+",English,"Oct 1, 2024",1h 16m,David Lewis,"Frazer Bradshaw,Charles Grande,David Lewis,Matthew Montgomery",Peculiar Película,PG (Rude Humor|Some Thematic Elements),David Lewis,"Sep 30, 2003","Jun 18, 2022, Limited",Dolby,Scope (2.35:1),$180.1K,"Feb 18, 2006","Scott ""Kid Cudi"" Mescudi,Kenya Barris",Prom Pact
One Tree Entertainment,"Comedy,Romance,LGBTQ+",English,"Oct 1, 2024",1h 16m,David Lewis,"Frazer Bradshaw,Charles Grande,David Lewis,Matthew Montgomery",Peculiar Película,PG (Rude Humor|Some Thematic Elements),David Lewis,"Sep 30, 2003","Jun 18, 2022, Limited",Dolby,Scope (2.35:1),$180.1K,"Feb 18, 2006","Scott ""Kid Cudi"" Mescudi,Kenya Barris",Stinky Summer
One Tree Entertainment,"Comedy,Romance,LGBTQ+",English,"Oct 1, 2024",1h 16m,David Lewis,"Frazer Bradshaw,Charles Grande,David Lewis,Matthew Montgomery",Peculiar Película,PG (Rude Humor|Some Thematic Elements),David Lewis,"Sep 30, 2003","Jun 18, 2022, Limited",Dolby,Scope (2.35:1),$180.1K,"Feb 18, 2006","Scott ""Kid Cudi"" Mescudi,Kenya Barris",The Image of You
One Tree Entertainment,"Comedy,Romance,LGBTQ+",English,"Oct 1, 2024",1h 16m,David Lewis,"Frazer Bradshaw,Charles Grande,David Lewis,Matthew Montgomery",Peculiar Película,PG (Rude Humor|Some Thematic Elements),David Lewis,"Sep 30, 2003","Jun 18, 2022, Limited",Dolby,Scope (2.35:1),$180.1K,"Feb 18, 2006","Scott ""Kid Cudi"" Mescudi,Kenya Barris",Ganymede
One Tree Entertainment,"Comedy,Romance,LGBTQ+",English,"Oct 1, 2024",1h 16m,David Lewis,"Frazer Bradshaw,Charles Grande,David Lewis,Matthew Montgomery",Peculiar Película,PG (Rude Humor|Some Thematic Elements),David Lewis,"Sep 30, 2003","Jun 18, 2022, Limited",Dolby,Scope (2.35:1),$180.1K,"Feb 18, 2006","Scott ""Kid Cudi"" Mescudi,Kenya Barris",Getting to Know You
One Tree Entertainment,"Comedy,Romance,LGBTQ+",English,"Oct 1, 2024",1h 16m,David Lewis,"Frazer Bradshaw,Charles Grande,David Lewis,Matthew Montgomery",Peculiar Película,PG (Rude Humor|Some Thematic Elements),David Lewis,"Sep 30, 2003","Jun 18, 2022, Limited",Dolby,Scope (2.35:1),$180.1K,"Feb 18, 2006","Scott ""Kid Cudi"" Mescudi,Kenya Barris",A Part of You
One Tree Entertainment,"Comedy,Romance,LGBTQ+",English,"Oct 1, 2024",1h 16m,David Lewis,"Frazer Bradshaw,Charles Grande,David Lewis,Matthew Montgomery",Peculiar Película,PG (Rude Humor|Some Thematic Elements),David Lewis,"Sep 30, 2003","Jun 18, 2022, Limited",Dolby,Scope (2.35:1),$180.1K,"Feb 18, 2006","Scott ""Kid Cudi"" Mescudi,Kenya Barris",Honor Society
One Tree Entertainment,"Comedy,Romance,LGBTQ+",English,"Oct 1, 2024",1h 16m,David Lewis,"Frazer Bradshaw,Charles Grande,David Lewis,Matthew Montgomery",Peculiar Película,PG (Rude Humor|Some Thematic Elements),David Lewis,"Sep 30, 2003","Jun 18, 2022, Limited",Dolby,Scope (2.35:1),$180.1K,"Feb 18, 2006","Scott ""Kid Cudi"" Mescudi,Kenya Barris",My Heart Can't Beat Unless You Tell It To
One Tree Entertainment,"Comedy,Romance,LGBTQ+",English,"Oct 1, 2024",1h 16m,David Lewis,"Frazer Bradshaw,Charles Grande,David Lewis,Matthew Montgomery",Peculiar Película,PG (Rude Humor|Some Thematic Elements),David Lewis,"Sep 30, 2003","Jun 18, 2022, Limited",Dolby,Scope (2.35:1),$180.1K,"Feb 18, 2006","Scott ""Kid Cudi"" Mescudi,Kenya Barris",The American
One Tree Entertainment,"Comedy,Romance,LGBTQ+",English,"Oct 1, 2024",1h 16m,David Lewis,"Frazer Bradshaw,Charles Grande,David Lewis,Matthew Montgomery",Peculiar Película,PG (Rude Humor|Some Thematic Elements),David Lewis,"Sep 30, 2003","Jun 18, 2022, Limited",Dolby,Scope (2.35:1),$180.1K,"Feb 18, 2006","Scott ""Kid Cudi"" Mescudi,Kenya Barris","Batman: The Long Halloween, Part One"
One Tree Entertainment,"Comedy,Romance,LGBTQ+",English,"Oct 1, 2024",1h 16m,David Lewis,"Frazer Bradshaw,Charles Grande,David Lewis,Matthew Montgomery",Peculiar Película,PG (Rude Humor|Some Thematic Elements),David Lewis,"Sep 30, 2003","Jun 18, 2022, Limited",Dolby,Scope (2.35:1),$180.1K,"Feb 18, 2006","Scott ""Kid Cudi"" Mescudi,Kenya Barris",Hellhole
One Tree Entertainment,"Comedy,Romance,LGBTQ+",English,"Oct 1, 2024",1h 16m,David Lewis,"Frazer Bradshaw,Charles Grande,David Lewis,Matthew Montgomery",Peculiar Película,PG (Rude Humor|Some Thematic Elements),David Lewis,"Sep 30, 2003","Jun 18, 2022, Limited",Dolby,Scope (2.35:1),$180.1K,"Feb 18, 2006","Scott ""Kid Cudi"" Mescudi,Kenya Barris",MK Ultra
One Tree Entertainment,"Comedy,Romance,LGBTQ+",English,"Oct 1, 2024",1h 16m,David Lewis,"Frazer Bradshaw,Charles Grande,David Lewis,Matthew Montgomery",Peculiar Película,PG (Rude Humor|Some Thematic Elements),David Lewis,"Sep 30, 2003","Jun 18, 2022, Limited",Dolby,Scope (2.35:1),$180.1K,"Feb 18, 2006","Scott ""Kid Cudi"" Mescudi,Kenya Barris",Ruthless
One Tree Entertainment,"Comedy,Romance,LGBTQ+",English,"Oct 1, 2024",1h 16m,David Lewis,"Frazer Bradshaw,Charles Grande,David Lewis,Matthew Montgomery",Peculiar Película,PG (Rude Humor|Some Thematic Elements),David Lewis,"Sep 30, 2003","Jun 18, 2022, Limited",Dolby,Scope (2.35:1),$180.1K,"Feb 18, 2006","Scott ""Kid Cudi"" Mescudi,Kenya Barris",Longing
One Tree Entertainment,"Comedy,Romance,LGBTQ+",English,"Oct 1, 2024",1h 16m,David Lewis,"Frazer Bradshaw,Charles Grande,David Lewis,Matthew Montgomery",Peculiar Película,PG (Rude Humor|Some Thematic Elements),David Lewis,"Sep 30, 2003","Jun 18, 2022, Limited",Dolby,Scope (2.35:1),$180.1K,"Feb 18, 2006","Scott ""Kid Cudi"" Mescudi,Kenya Barris",Piggy
