Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Sound Mix,Aspect Ratio,title,Rerelease Date (Theaters),Release Date (DVD),Creator
M. Night Shyamalan,"M. Night Shyamalan,Ashwin Rajan,Marc Bienstock",M. Night Shyamalan,Universal Pictures,"Universal Pictures,Blinding Edge Pictures",PG-13 (Disturbing Images|Brief Strong Language|Partial Nudity|Strong Violence|Suggestive Content),"Horror,Mystery & Thriller",English,"Jul 23, 2021, Wide","Oct 4, 2021",$48.2M,1h 48m,Dolby Atmos,Scope (2.35:1),Old,,,
Vicky Wight,"Geoff Linville,Berry Meyerowitz,Vicky Wight",Vicky Wight,Netflix,"Cranetown Media,Synthetic Cinema International",,"Romance,Comedy,Drama",English,"Jul 21, 2023, Limited","Jul 27, 2023",,1h 43m,,,Happiness for Beginners,,,
Julia Dyer,"Gretchen Dyer,Julia Dyer,Stephen Dyer",Gretchen Dyer,Strand Releasing,One Mind Productions,,Comedy,English,"Jul 21, 1997, Wide","Oct 18, 2016",$100.1K,1h 45m,,,Late Bloomers,,,
Woody Allen,"Letty Aronson,Gareth Wiley",Woody Allen,Focus Features,"BBC,Perdido Productions,Ingenious Film Partners",PG-13 (Some Sexual Content),"Romance,Comedy",English,"Jul 28, 2006, Original","Apr 19, 2016",$10.5M,1h 36m,,,Scoop,,,
Dru Pfeiffer,"Craig Everett Earl,Octavia Earl",Craig Everett Earl,,,,Mystery & Thriller,English,,"Dec 23, 2016",,1h 14m,,,Intrusion,,,
Bryan Bertino,"Bryan Bertino,Adrienne Biddle,Sonny Mallhi,Kevin Matusow",Bryan Bertino,Shudder,"Inwood Road Films,Traveling Picture Show Company (TPSC),Shotgun Shack Pictures,Unbroken Pictures",,"Horror,Mystery & Thriller",English,"Nov 6, 2020, Limited","Nov 6, 2020",$157.0K,1h 34m,,,The Dark and the Wicked,,,
Michael Bay,"Michael Bay,Bradley J. Fischer,James Vanderbilt,William Sherak,Ian Bryce","Chris Fedak,Laurits Munch-Petersen",Universal Pictures,"New Republic Pictures,Universal Pictures,Bay Films,Endeavor Content,Project X Entertainment",R (Intense Violence|Bloody Images|Language Throughout),"Action,Mystery & Thriller,Crime,Drama",English,"Apr 8, 2022, Wide","May 24, 2022",$22.3M,2h 16m,Dolby Digital,Scope (2.35:1),Ambulance,,,
Costa-Gavras,,"Vassilis Vassilikos,Jorge Semprún,Costa-Gavras",Cinema V,"Valoria Films,Reggane Films,KG Productions,Galatée Films",PG,Mystery & Thriller,French (France),"Dec 8, 1969, Original","Mar 7, 2017",$83.3K,2h 7m,Mono,35mm,Z,"Mar 13, 2009",,
Truman Kewley,Truman Kewley,Truman Kewley,Hewes Pictures,Goodwork Entertainment,,"Horror,Mystery & Thriller",English,"Oct 30, 2024, Limited","Oct 31, 2024",,1h 21m,,,Beautiful Friend,,,
Ian Hunt-Duffy,Simon James Doyle,Darach McGarrigle,Epic Pictures,"Epic Pictures Group,FailSafe Films",,"Horror,Mystery & Thriller",English,"Feb 9, 2024, Limited","Feb 13, 2024",,1h 30m,,,Double Blind,,,
André Téchiné,,,,,,Drama,Canadian French,,,,1h 55m,,,The Innocents,,,
Marek Koterski,,Marek Koterski,,,,"Romance,Comedy",Polish,,,,1h 22m,,,Porno,,,
Klaudia Reynicke-Candeloro,Tiziana Soudani,Klaudia Reynicke-Candeloro,,,,Drama,Italian,,"Jan 4, 2019",,1h 20m,,,The Nest,,,
Kobi Libii,"Julia Lebedev,Eddie Vaisman,Angel Lopez,Kobi Libii",Kobi Libii,Focus Features,"Sight Unseen Pictures,Focus Features",PG-13 (Suggestive Material|Some Strong Language|Thematic Material),"Comedy,Fantasy",English,"Mar 15, 2024, Wide","Apr 2, 2024",$2.5M,1h 44m,"Dolby Atmos,Dolby Digital",Scope (2.35:1),The American Society of Magical Negroes,,,
Tony Giglio,,Tony Giglio,,,,Action,English,"Sep 5, 2013, Limited","Apr 25, 2014",,1h 46m,,,Extraction 2,,,
Michael S. Ojeda,"Jason Gurvitz,Michael S. Ojeda,Oksana Orlan",Michael S. Ojeda,Lionsgate,"Agora Films,Green Dog Films,Reigning Entertainment",,"Action,Mystery & Thriller",English,"Oct 11, 2024, Limited","Oct 11, 2024",,1h 34m,,,Dominique,,,
Edgar Wright,"Nira Park,Tim Bevan,Eric Fellner,Laura Richardson,Edgar Wright","Edgar Wright,Krysty Wilson-Cairns",Focus Features,"Complete Fiction,Focus Features,Working Title Films,Film4",R (Brief Drug Material|Bloody Violence|Brief Graphic Nudity|Language|Sexual Content),"Mystery & Thriller,Drama",British English,"Oct 29, 2021, Wide","Nov 18, 2021",$10.1M,1h 57m,Dolby Atmos,Scope (2.35:1),Last Night in Soho,,,
Anthony Fabian,"Anthony Fabian,Xavier Marchand,Guillaume Benski","Anthony Fabian,Carroll Cartwright,Keith Thompson,Olivia Hetreed",Focus Features,"Umedia,Elysian Films,Moonriver Content,Hero Squared,Entertainment One,Superbe Films,Hungarian National Film Fund",PG (Smoking|Language|Suggestive Material),"Comedy,Drama",British English,"Jul 15, 2022, Wide","Aug 2, 2022",$10.3M,1h 55m,Dolby Digital,Scope (2.35:1),Mrs. Harris Goes to Paris,,,
Domingo González,,Domingo González,Amazon Studios,"Pokeepsie Films,Amazon Studios",,"Drama,Romance",European Spanish,,"Jun 8, 2023",,1h 57m,,,My Fault,,,
Klaas van Eijkeren,"Klaas van Eijkeren,Alex ter Beek",Klaas van Eijkeren,,"Expressie Produkties,Pink Moon",,"Drama,Mystery & Thriller",Dutch,,"Oct 23, 2020",,1h 33m,,,The Fox,,,
Thea Hvistendahl,"Kristin Emblem,Guri Neby","John Ajvide Lindqvist,Thea Hvistendahl",NEON,Einar Film,R,"Horror,Drama,Mystery & Thriller",Norwegian,"May 31, 2024, Limited","Jun 18, 2024",$19.7K,1h 37m,,,Handling the Undead,,,
Matt Johnson,"Niv Fichman,Matt Miller,Fraser Ash,Kevin Krikst","Matt Johnson,Matt Miller",IFC Films,"IPR.VC,Ontario Creates,Rhombus Media,Téléfilm Canada,Paramount,Zapruder Films,Canadian Broadcasting Corporation",R (Language Throughout),"Comedy,Drama,History",English,"May 12, 2023, Limited","Jun 2, 2023",$1.5M,1h 59m,Dolby Digital,,BlackBerry,,,
Lee Cipolla,"Katherine Borda,Lee Cipolla,Jodi Michelle Cutler,Orien Richman,Gary Sales,Amy Williams",Lee Cipolla,Bridgestone Media Group,"Crystal Rock Entertainment,We Make Movies,Playworld Pictures",,"Kids & Family,Drama",English,,"Sep 10, 2024",,1h 40m,,,Rally Caps,,,
Rick Bota,"Jamie Goehring,Kevin Leeson",Riley Weston,,Lighthouse Productions,TV-14,Mystery & Thriller,English,,"Apr 5, 2017",,1h 30m,,,Damaged,,,
Gina Prince-Bythewood,"Cathy Schulman,Viola Davis,Julius Tennon,Maria Bello",Dana Stevens,TriStar Pictures,"Dapartment of Trade and Industry of South Africa,Welle Entertainment,Investment Incentives for the Irish Film Industry Provided by the Government of Ireland,TSG Entertainment,Jack Blue Productions,TriStar Pictures,JuVee Productions,Eone Entertainment",PG-13 (Partial Nudity|Brief Language|Sequences of Strong Violence|Some Disturbing Material|Thematic Content),"Action,Adventure,History,Drama,War",English,"Sep 16, 2022, Wide","Dec 13, 2022",$67.1M,2h 15m,Dolby Digital,Scope (2.35:1),The Woman King,,,
Edmund Goulding,,,,Twentieth Century Fox,,"Crime,Drama",English,"Oct 9, 1947, Original","Nov 1, 2016",,1h 51m,,,Nightmare Alley,,,
Richard Shepard,"Mike Curb,Carole Curb Nemoy,Richard Shepard,Jonathan Stern",Richard Shepard,"Ascot Video,Ardustry Home Entertainment LLC,A-Pix Entertainment,UNAPIX Entertainment","Curb Entertainment,Abandon Pictures,Paddy Wagon Productions",R,Mystery & Thriller,English,"Nov 12, 1999, Wide",,,1h 32m,"Surround,Dolby",,Oxygen,,,
Francis Ford Coppola,Francis Ford Coppola,"Francis Ford Coppola,Mario Puzo",Paramount Pictures,,,"Crime,Drama",English,"Dec 4, 2020, Limited","Dec 8, 2020",,,,,"The Godfather, Coda: The Death of Michael Corleone",,,
Jason Reitman,Ivan Reitman,"Gil Kenan,Jason Reitman",Columbia Pictures,"Columbia Pictures,Ivan Reitman,BRON Creative",PG-13 (Supernatural Action|Some Suggestive References),"Comedy,Fantasy,Adventure",English,"Nov 19, 2021, Wide","Jan 10, 2022",$128.8M,2h 4m,Dolby Atmos,Digital 2.39:1,Ghostbusters: Afterlife,,,
David Gordon Green,"Malek Akkad,Jason Blum,Bill Block","David Gordon Green,Danny McBride,Scott Teems",Universal Pictures,"Trancas International Films Inc.,Home Again Productions,Universal Pictures,Blumhouse Productions,Miramax,Rough House Pictures",R (Language|Grisly Images|Some Drug Use|Strong Bloody Violence),"Holiday,Horror,Mystery & Thriller",English,"Oct 15, 2021, Wide","Oct 15, 2021",$92.0M,1h 45m,"Dolby Digital,Dolby Atmos",Digital 2.39:1,Halloween Kills,,,
Bernardo Britto,"Benjamin Cohen,Patrick Donovan,David Hinojosa",Bernardo Britto,Magnolia Pictures,"Killer Films,2AM",,"Drama,Sci-Fi,Comedy",English,"Sep 20, 2024, Limited","Sep 20, 2024",$40.0K,1h 47m,,,Omni Loop,,,
D.J. Caruso,"Cindy Bond,Brittany Yost,Simon Swart,Wayne Fitzjohn,Michael Scott,David A.R. White","D.J. Caruso,Francine Rivers",Universal Pictures,"Advantage Entertainment,Nthibah Pictures,Mission Pictures International,Pinnacle Peak Pictures",PG-13 (Partial Nudity|Mature Thematic Content|Sexual Content|Strong Violent Content),"Romance,History,Drama",English,"Jan 21, 2022, Wide","Mar 7, 2022",$9.2M,2h 14m,,Scope (2.35:1),Redeeming Love,,,
Eric Fogel,,"Alan Schoolcraft,Brent Simons",Peacock,"DreamWorks Animation,DreamWorks Animation Television",,"Kids & Family,Comedy,Adventure,Animation",English,,"Mar 1, 2024",,1h 23m,,,Megamind vs. the Doom Syndicate,,,
Jon S. Baird,"Gillian Berrie,Len Blavatnik,Gregor Cameron,Claudia Schiffer,Matthew Vaughn",Noah Pink,Apple TV+,"Marv Films,AI-Film",R (Language),"Mystery & Thriller,Biography,Drama",English,"Mar 24, 2023, Limited","Mar 31, 2023",,1h 58m,Dolby Digital,Digital 2.39:1,Tetris,,,
David Bruckner,"David S. Goyer,Keith Levine,John Zois",Luke Piotrowski,Searchlight Pictures,"TSG Entertainment,Anton,Searchlight Pictures,Phantom Four Films",R (Some Sexual References|Language|Some Violence/Disturbing Image),"Horror,Mystery & Thriller",English,"Aug 20, 2021, Wide","Oct 5, 2021",$7.1M,1h 50m,,Scope (2.35:1),The Night House,,,
Michael Chaves,"Peter Safran,James Wan","Ian Goldberg,Richard Naing,Akela Cooper",Warner Bros. Pictures,"Atomic Monster,New Line Cinema,The Safran Company",R (Violent Content|Some Terror),"Horror,Mystery & Thriller",English,"Sep 8, 2023, Wide","Oct 3, 2023",$86.3M,1h 50m,,Digital 2.39:1,The Nun II,,,
François Ozon,"Éric Altmayer,Nicolas Altmayer",François Ozon,Music Box Films,"Scope Pictures,France 2 Cinéma,Mandarin Cinéma,Gaumont,FOZ,Playtime",,"Comedy,Drama,Crime",French,"Dec 25, 2023, Limited","Feb 13, 2024",$111.4K,1h 42m,,Scope (2.35:1),The Crime Is Mine,,,
Daniel Robbins,"Elliot Allen,Michael Gelfand,Daniel Goldschmidt,Joey Lyons,Daniel Robbins","Joe Gallagher,Zack Weiner,Zack Weiner,Joe Gallagher",Gravitas Ventures,One Man Army,,"Comedy,Documentary",English,,"Oct 29, 2024",,1h 23m,,,Citizen Weiner,,,
"Max Eggers,Sam Eggers","Babak Anvari,David Hinojosa,Julia Oh,Lucan Toh","Max Eggers,Sam Eggers",A24,"Two & Two Pictures,2AM",R,"Horror,Mystery & Thriller",English,"Sep 6, 2024, Wide","Sep 24, 2024",$1.5M,1h 34m,,Scope (2.35:1),The Front Room,,,
Josh Trank,"Russell Ackerman,Lawrence Bender,Aaron L. Gilbert,John Schoenfelder",Josh Trank,,"Creative Wealth Media Finance,BRON Studios,Addictive Pictures,A Band Apart,Lawrence Bender Productions",R (Some Sexuality|Pervasive Language|Strong/Bloody Violence),"Crime,Drama,Biography",English,,"May 12, 2020",,1h 43m,,Scope (2.35:1),Capone,,,
Boston McConnaughey,,"Boston McConnaughey,Renny Grames",Scatena & Rosner Films,,,"Action,Comedy,Sci-Fi",English,,"Oct 22, 2024",,1h 37m,,,Alien Country,,,
Radha Blank,,Radha Blank,Netflix,Hillman Grad,R (Some Drug Use|Brief Nudity|Sexual Content|Pervasive Language),"Comedy,Drama,Music",English,,"Oct 9, 2020",,2h 3m,,Scope (2.35:1),The Forty-Year-Old Version,,,
Dakota Gorman,"Eric Brenner,German Michael Torres,RJ Collins,Lawrence Greenberg",Jackson Reid Williams,Quiver Distribution,"GMT Films,BondIt Media Capital,Elevate Media Partners,ETA Films",,Mystery & Thriller,English,"Jul 26, 2024, Limited","Jul 26, 2024",,1h 29m,,,The Girl in the Pool,,,
Jamie Bailey,"Jamie Bailey,Mem Ferda,Simon Phillips",Simon Phillips,Shudder,Into Frame Productions,,"Horror,Mystery & Thriller",English,,"Aug 6, 2024",,1h 20m,,,The Mouse Trap,,,
Rainer Werner Fassbinder,"Horst Wendlandt,Hanns Eckelkamp","Pea Fröhlich,Peter Märthesheimer,Rainer Werner Fassbinder",,"Rialto Film,Westdeutscher Rundfunk,Trio Film",R,Drama,German,,"Oct 15, 2020",,1h 55m,,,LOLA,,,
Nattawut Poonpiriya,"Vanridee Pongsittisak,Chenchonnee Soonthornsaratul,Suwimon Techasupinan,Weerachai Yaikwawong","Tanida Hantaweewatana,Vasudhorn Piyaromna,Nattawut Poonpiriya,Timothy Teo",,Jorkwang Films,,Mystery & Thriller,Thai,,"Nov 21, 2017",,2h 10m,Dolby Digital,Scope (2.35:1),Bad Genius,,,
José Luis Borau,José Luis Borau,José Luis Borau,Miramax Films,"Via Digital,El Imán Cine y Televisión S.A.,Televisión Española (TVE)",,Mystery & Thriller,European Spanish,"Sep 1, 2000, Original",,,1h 26m,Dolby,,Leo,,,
Stefan Jarl,Stefan Jarl,Stefan Jarl,,"Stefan Jarl Filmproduktion AB,Film i Väst,SVT Göteborg,Svenska Filminstitutet",,Documentary,Swedish,,,,1h 35m,,,The Bricklayer,,,
David Ayer,"Matthew Antoun,David Ayer,Chris Long,Tyler Thompson",David Ayer,RLJE Films,"Kodiak Pictures,Cedar Creek Productions,Faster Horse Pictures,Cross Creek Pictures",,"Mystery & Thriller,Crime,Drama",English,"Aug 7, 2020, Limited","Aug 7, 2020",$942.7K,1h 35m,,,The Tax Collector,,,
,,,,,,Western,English,,,,54m,,,End of the Rope,,,
Peter Farrelly,"David Ellison,Dana Goldberg,Don Granger,Andrew J. Muscato,Jake Myers","Peter Farrelly,Brian Hayes Currie,Pete Jones",Apple TV+,"Skydance Media,Living Films",R (Language|Some War Violence),"Drama,War",English,"Sep 30, 2022, Limited","Sep 30, 2022",,2h 6m,Dolby Digital,,The Greatest Beer Run Ever,,,
"Stephen Gray,Chris Radtke","Jason Pamer,Jens Jacob",Stephen Gray,Angel Studios,Sypher Studios,PG-13 (Violent Descriptions|Drug References|Thematic Material|Some Bloody Images),Documentary,English,"Oct 27, 2023, Wide","Mar 11, 2024",$10.9M,1h 48m,Dolby Atmos,,After Death,,,
Rodger Fitz,,,,,,"Comedy,Drama",English,,,,1h 30m,,,Run Rabbit Run,,,
John Dahl,"J.J. Abrams,Chris Moore","Clay Tarver,J.J. Abrams","Medusa Distribuzione,20th Century Fox","Bad Robot,New Regency Pictures,LivePlanet,Regency Enterprises",R (Violence|Terror),Mystery & Thriller,English,"Oct 5, 2001, Wide","Dec 12, 2015",$22.0M,1h 36m,"Surround,Dolby Digital,Dolby A,Dolby SR",Scope (2.35:1),Joy Ride,,,
Ronald Diltz II,"Ashton Bracciodieta,Ronald Diltz II",Ronald Diltz II,,Ronald Diltz II Productions,,Drama,English,,,,23m,,,Depravity,,,
Adam Wingard,"Mary Parent,Alex Garcia,Eric McLeod,Jon Jashni,Thomas Tull,Brian Rogers","Eric Pearson,Max Borenstein",Warner Bros. Pictures,Legendary Pictures,PG-13 (Destruction|Brief Language|Intense Creature Violence),"Sci-Fi,Action,Adventure",English,"Mar 31, 2021, Wide","Mar 31, 2021",$100.4M,1h 53m,"Dolby Atmos,Dolby Digital",Digital 2.39:1,Godzilla vs. Kong,,,
Jeymes Samuel,"Lawrence Bender,Jay-Z,James Lassiter,Jeymes Samuel","Jeymes Samuel,Boaz Yakin",Netflix,"Netflix,Overbrook Entertainment",R (Strong Violence and Language),"Western,Drama",English,"Oct 22, 2021, Limited","Nov 3, 2021",,2h 17m,Dolby Digital,Scope (2.35:1),The Harder They Fall,,,
George Melford,M.H. Hoffman,,,,,Western,English,,,,1h 2m,,,Boiling Point,,,
Craig Gillespie,"Andrew Gunn,Marc Platt,Kristin Burr","Dana Fox,Tony McNamara",Walt Disney,"Walt Disney Pictures,Gunn Films,TSG Entertainment,Marc Platt Productions",PG-13 (Thematic Elements|Some Violence),"Comedy,Kids & Family",English,"May 28, 2021, Wide","Aug 27, 2021",$86.1M,2h 14m,"Dolby Atmos,Dolby Digital",Flat (1.85:1),Cruella,,,
John Flynn,Carter DeHaven,"Donald E. Westlake,John Flynn",Metro-Goldwyn-Mayer,Metro Goldwyn Mayer,PG,"Crime,Drama",English,"May 27, 1974, Original","Sep 1, 2009",,1h 43m,Mono,,The Outfit,,,
Gregg Araki,"Gregg Araki,Andrea Sperling",Gregg Araki,Fine Line Features,,R,Drama,English,"May 9, 1997, Original",,$172.7K,1h 23m,,,Nowhere,"Nov 3, 2023",,
Harry Lindley,Harriet Wade,"Harry Lindley,Julian Mack",,,,Sci-Fi,British English,,"Jun 25, 2019",,1h 20m,,,CTRL,,,
"Chris Cottam,Wally Marzano-Lesnevich","Max Brady,Chris Cottam,Paul Reiser","Paul Reiser,Wally Marzano-Lesnevich",Quiver Distribution,Maxfilms,,Comedy,English,"Oct 3, 2024, Limited","Oct 3, 2024",,1h 42m,,,The Problem with People,,,
"Matt Angel,Suzanne Coote",Michael J. Luisi,Richard D'Ovidio,,The Long Game,,"Horror,Mystery & Thriller",English,,"Oct 27, 2021",,1h 29m,Dolby Digital,Scope (2.35:1),Hypnotic,,,
Channing Godfrey Peoples,"Neil Creque Williams,James M. Johnston,Jeanie Igoe,Toby Halbrooks,Tim Headington,Theresa Steele Page",Channing Godfrey Peoples,Vertical Entertainment,"Sailor Bear,Ley Line Entertainment",,Drama,English,"Jun 19, 2020, Limited","Jun 19, 2020",$86.3K,1h 43m,,Scope (2.35:1),Miss Juneteenth,,,
Tony Giglio,,Tony Giglio,,,,Action,English,"Sep 5, 2013, Limited","Apr 25, 2014",,1h 46m,,,Extraction,,,
"Jon Glascoe,Joseph Pierson","Joseph Pierson,Jon Glascoe",Terry Reed,,Cypress Films (I),R,"Romance,Comedy",English,"Dec 10, 1999, Limited",,,1h 26m,,,Cherry,,"Oct 23, 2012",
Lewis D. Collins,,Daniel Bruce,,,,Western,English,,,,1h 2m,,,The Marksman,,,
Masayuki Suo,"Hiroshi Yamamoto,Shoji Masui",Masayuki Suo,,,,"Comedy,Drama",Japanese,,,,1h 42m,,,Fancy Dance,,,
Sidney J. Furie,,,,The Ladd Company,R,War,English,,"Jun 22, 2009",,1h 55m,Surround,,Purple Hearts,,,
William Oldroyd,"Anthony Bregman,Stefanie Azpiazu,Luke Goebel,Ottessa Moshfegh,William Oldroyd,Peter Cron,Bavand Karim","Luke Goebel,Ottessa Moshfegh",NEON,"Fifth Season,Likely Story,Lost Winds Entertainment,Film4,Omniscient Productions",R (Sexual Content|Language|Violent Content),"Mystery & Thriller,Drama",English,"Dec 8, 2023, Wide","Jan 2, 2024",$1.4M,1h 36m,Dolby Digital,Flat (1.66:1),Eileen,,,
"Shannon Tindle,John Aoshima","Tom Knott,Lisa M. Poole","Shannon Tindle,Marc Haimes",Netflix,"Netflix Animation,Industrial Light & Magic,Tsuburaya Productions",PG (Some Language|Sequences of Violence/Action|Rude Humor|Thematic Elements),"Kids & Family,Adventure,Action,Sci-Fi,Fantasy,Animation,Anime",English,"Jun 14, 2024, Limited","Jun 14, 2024",,1h 57m,,,Ultraman: Rising,,,
Paul W.S. Anderson,Lawrence Kasanoff,Kevin Droney,,New Line Cinema,PG-13,Action,English,,"Sep 1, 2009",$70.5M,1h 41m,"Surround,Stereo",,Mortal Kombat,,,
Sofia Coppola,"Sofia Coppola,Lorenzo Mieli,Youree Henley",Sofia Coppola,A24,"The Apartment,American Zoetrope",R (Drug Use and Some Language),"Drama,Romance,Biography,Music",English,"Nov 3, 2023, Wide","Dec 15, 2023",$20.2M,1h 53m,Dolby Digital,Flat (1.85:1),Priscilla,,,
Jesse V. Johnson,"Steve Lee Jones,Matthew Shreder,Jonathan Halperyn,Daniel Kresmery,Simon Williams",George Mahaffey,Vertical,"Filmology Finance,Ashland Hill Media Finance,Bee Holder Productions,Hero Squared,Tip-Top Productions,Concourse Media,TDP FILMS",,"Action,Mystery & Thriller",English,"May 3, 2024, Limited","May 3, 2024",,1h 37m,,,Chief of Station,,,
Aubrey Scotto,Nat Levine,,Republic Pictures,Republic Pictures,,Comedy,English,"Jun 25, 1936, Original","Mar 13, 2017",,1h 10m,,,Ticket to Paradise,,,
Baz Luhrmann,"Gail Berman,Baz Luhrmann,Catherine Martin,Patrick McCormick,Schuyler Weiss,Andrew Mittman","Baz Luhrmann,Sam Bromell,Craig Pearce,Jeremy Doner",Warner Bros. Pictures,"Bazmark Films,The Jackal Group",PG-13 (Strong Language|Smoking|Substance Abuse|Suggestive Material),"Biography,Drama,Music",English,"Jun 24, 2022, Wide","Aug 9, 2022",$151.0M,2h 39m,Dolby Digital,Scope (2.35:1),Elvis,,,
Michael Chaves,"James Wan,Peter Safran",David Leslie Johnson-McGoldrick,Warner Bros. Pictures,"New Line Cinema,Safran Company,Atomic Monster",R (Terror|Some Disturbing Images|Violence),"Horror,Mystery & Thriller",English,"Jun 4, 2021, Wide","Jun 4, 2021",$65.6M,1h 52m,"DTS,Dolby Digital,Dolby Atmos",Scope (2.35:1),The Conjuring: The Devil Made Me Do It,,,
Neal Brennan,Chelsea Alonzi,Seth Meyers,HBO,,,"Comedy,Stand-Up",English,,"Oct 26, 2024",,1h 1m,,,Seth Meyers: Dad Man Walking,,,
William Brent Bell,"Ethan Erwin,Alex Mace,Hal Sadoff,James Tomlinson",David Coggeshall,Paramount Players,"Entertainment One,Dark Castle Entertainment",R (Brief Sexual Content|Bloody Violence|Language),"Horror,Mystery & Thriller",English,"Aug 19, 2022, Wide","Aug 19, 2022",$5.4M,1h 39m,Dolby Digital,Flat (1.85:1),Orphan: First Kill,,,
"Adil El Arbi,Bilall Fallah","Jerry Bruckheimer,Will Smith,Doug Belgrad","Chris Bremner,Peter Craig,Joe Carnahan","Columbia Pictures,Sony Pictures Entertainment","2.0 Entertainment,Jerry Bruckheimer Films,Columbia Pictures",R (Language Throughout|Brief Drug Use|Sexual References|Strong Bloody Violence),"Action,Comedy",English,"Jan 17, 2020, Wide","Mar 31, 2020",$204.3M,2h 4m,Dolby Atmos,Scope (2.35:1),Bad Boys for Life,,,
Lorcan Finnegan,"Brendan McCarthy,John McDonnell",Garret Shanley,,"Fantastic Films,PingPongFilm,Frakas Productions",,"Mystery & Thriller,Sci-Fi",English,,"Mar 25, 2020",,1h 37m,,,Vivarium,,,
"Luke Rynderman,Adam Kamien","Bonnie McBride,Anna Vincent,Louise Nathanson,Lisa Scott","Luke Rynderman,Adam Kamien",Vertical,"Highview Productions,SLA Films,Hianlo,Ringleader Films",,"Documentary,Crime,Drama",English,"Jun 21, 2024, Limited","Jun 21, 2024",,1h 41m,,,The Speedway Murders,,,
Cathy Yan,"Margot Robbie,Bryan Unkeless,Sue Kroll",Christina Hodson,Warner Bros. Pictures,"DC Entertainment,Clubhouse Pictures (II),Kroll & Co. Entertainment",R (Some Sexual and Drug Material|Language Throughout|Strong Violence),"Action,Comedy",English,"Feb 7, 2020, Wide","Mar 23, 2020",$84.1M,1h 49m,Dolby Atmos,Scope (2.35:1),Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),,,
