Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Sound Mix,Aspect Ratio,title,Rerelease Date (Theaters),Release Date (DVD),Creator
Peter Gothar,,,,,,Drama,Romanian,,,,1h 24m,,,The Outpost,,,
"Joseph Winter,Vanessa Winter","Jared Cook,Melanie Stone,Joseph Winter,Vanessa Winter","Joseph Winter,Vanessa Winter",,"Stonehaven Media,Winterspectre Entertainment,Stonehaven Productions, Inc.",,"Horror,Comedy",English,,"Oct 6, 2022",,1h 27m,,,Deadstream,,,
Hettie MacDonald,"Juliet Dowling,Kevin Loader,Marilyn Milgrom",Rachel Joyce,Quiver Distribution,"Free Range Films,Ingenious Media",,Drama,British English,"Sep 20, 2024, Limited","Sep 20, 2024",,1h 48m,,,The Unlikely Pilgrimage of Harold Fry,,,
Christopher McClean,,Christopher McClean,,,,Mystery & Thriller,English,,"Jan 13, 2021",,20m,,,Vengeance,,,
Jenny Popplewell,,,Netflix,,,"Crime,Documentary",English,,"Apr 10, 2024",,1h 27m,,,What Jennifer Did,,,
Max Sokoloff,Jesse Filipko,Max Sokoloff,,,,Drama,English,,,,23m,,,What Remains,,,
Chris Bolan,"Alexa L. Fogel,Brendan Mason,Ryan Murphy","Chris Bolan,Alexa L. Fogel",,"Beech Hill Films,Blumhouse Productions",,"Documentary,Drama,LGBTQ+",English,,"Apr 29, 2020",,1h 23m,,,A Secret Love,,,
Peter Weir,"Peter Weir,Joni Levin,Duncan Henderson,Nigel Sinclair","Peter Weir,Keith Clarke",Newmarket Film Group,Exclusive Films,PG-13 (Brief Strong Language|A Nude Image|Depiction of Physical Hardship|Violent Content),Drama,English,"Jan 21, 2011, Limited","Oct 17, 2011",$2.7M,2h 13m,Dolby Digital,,The Way Back,,,
Roger Kumble,"Brian Pitt,David Shojai,Nicolas Chartier,Jonathan Deckter,Roger Kumble",Roger Kumble,Fathom Events,Voltage Pictures,R (Sexual Content|Nudity|Language Throughout),"Romance,Comedy",English,"Jan 24, 2024, Limited","Feb 13, 2024",,1h 30m,,Digital 2.39:1,Beautiful Wedding,,,
Joel Crawford,Mark Swift,"Kevin Hageman,Dan Hageman,Paul Fisher,Bob Logan",Universal Pictures,DreamWorks Animation,PG (Peril|Action|Rude Humor),"Kids & Family,Comedy,Adventure,Animation",English,"Nov 25, 2020, Wide","Dec 17, 2020",$58.5M,1h 35m,"Dolby Digital,DTS,Dolby Atmos",Scope (2.35:1),The Croods: A New Age,,,
Steven LaMorte,"Steven LaMorte,Amy Schumacher,Martine Melloul","Finn Kobler,Flip Kobler,Steven LaMorte",Sleight of Hand Productions,"Amy Rose Productions,Sleight of Hand Productions,Kali Pictures,Scatena & Rosner Films",,"Holiday,Horror,Comedy,Action",English,"Dec 8, 2022, Limited","Oct 3, 2023",$550.3K,1h 33m,,,The Mean One,,,
Zhang Zeming,,,,,,Drama,,,,,1h 39m,,,Swan Song,,,
