Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Runtime,title,Sound Mix,Aspect Ratio,Box Office (Gross USA),Release Date (DVD),Rerelease Date (Theaters)
David Poag,"Noor Ahmed,Michael Hagerty,Shannon Houchins",Billie Bates,Strike Back Studios,"Film Mode Entertainment ,Hideout Pictures,Strike Back Studios,Particular Crowd",,"Kids & Family,Holiday,Fantasy,Adventure",English,"Sep 30, 2022, Limited","Oct 11, 2022",1h 27m,Spirit Halloween: The Movie,,,,,
,,,,,,Documentary,English,,,1h 0m,The Collective,,,,,
Jeff Orlowski-Yang,Larissa Rhodes,"Davis Coombe,Jeff Orlowski-Yang,Vickie Curtis",,"Exposure Labs,The Space Program,Agent Pictures",PG-13 (Disturbing/Violent Images|Suggestive Material|Some Thematic Elements),Documentary,English,,"Sep 9, 2020",1h 34m,The Social Dilemma,,,,,
Etana Jacobson,"Alec Moore,Etana Jacobson,Jane Miller,Sarah Burns",Alec Moore,Good Deed Entertainment,"Varona Productions,Sexy, Sexy Science",,"Comedy,LGBTQ+",English,"Sep 3, 2024, Limited","Oct 8, 2024",1h 35m,Advanced Chemistry,,,,,
Alex Ranarivelo,"Ali Afshar,Daniel Aspromonte,Christina Moore,Ava Rettke",John Ducey,,ESX Entertainment,PG (Mild Language),"Holiday,Romance,Comedy",English,,"Dec 14, 2022",1h 29m,I Believe in Santa,,,,,
Philippa Lowthorpe,"Suzanne Mackie,Sarah Wheale","Rebecca Frayn,Gaby Chiappe",SHOUT! Studios,"Rococo Films,Ingenious Media,Pathé,BFI Films,BBC Films,Left Bank Pictures",,"Comedy,Drama",British English,"Sep 25, 2020, Limited","Sep 25, 2020",1h 46m,Misbehaviour,,,,,
Matthew Goodhue,"Mark David,Bradley Fowler,Matthew Goodhue,Cady Lanigan,Victoria Matlock,David Albert Pierce,Jason Sada,Michael J. Weiss",Bradley Fowler,Iconic Events / Gravitas Ventures,"Cinema Relics Productions,Renegade Studios,Buffalo Speedway Film Co.,Talking Wolf Productions",PG-13 (Violence|Language|Bloody Images),"Comedy,Drama,Horror,Mystery & Thriller",English,"Aug 30, 2023, Limited","Sep 19, 2023",1h 33m,Slotherhouse,,,,,
Choi Jae-hun,,Choi Jae-hun,,Smile Entertainment,,"Horror,Mystery & Thriller",Korean,,,1h 25m,The Hypnosis,,,,,
Martin Guigui,"Tony Hannagan,Cristi Harris,J. Shawn Harris,Galen Walker","Kevin E. Moore,J. Shawn Harris",,"Gama Entertainment Partners,Horror Business Films,7 Ideas,Sunset Pictures",,"Mystery & Thriller,Horror,Sci-Fi",English,,"Jun 8, 2021",1h 34m,The Unhealer,,,,,
Jacob Tierney,Victoria Hirst,,Strand Releasing,Victorious Films,R (Disturbing Sexual Content|Some Violence|Language),Drama,English,"May 21, 2004, Original","Jan 26, 2017",1h 37m,Twist,Surround,Flat (1.85:1),$46.2K,,
Randal Kamradt,"Angel Corbin,Randal Kamradt,Maria Olsen",Randal Kamradt,,"Monsterworks66,Soliloquy Films",,"Adventure,Drama,Fantasy",English,,"Nov 18, 2016",1h 48m,Faraway,,,,,
Henry Hathaway,Walter Wanger,,United Artists,United Artists,,Adventure,English,"Oct 31, 1941, Original","Aug 11, 2016",1h 31m,Sundown,,,,,
Joanna Hogg,"Ed Guiney,Andrew Lowe,Emma Norton,Joanna Hogg",Joanna Hogg,A24,"Element Pictures,Cineart,JWH Films",PG-13 (Some Drug Material),"Mystery & Thriller,Drama",English,"Dec 2, 2022, Limited","Dec 2, 2022",1h 36m,The Eternal Daughter,Dolby Digital,,$28.0K,,
,,,,,,Drama,,,,,The Occupant,,,,,
Monika Mitchell,"Stephanie Germain,Peter Guber,Peter Strauss,Peter E. Strauss","Suzette Couture,Donald Martin,Edithe Swensen",,"Mandalay Pictures,Eponymous Production",,Mystery & Thriller,English,,"Jan 13, 2022",1h 34m,Brazen,,,,,
Lee Myung-hoon,Han Jae-deok,Lee Myung-hoon,Netflix,Sanai Pictures,,"Action,Comedy",Korean,,"Aug 9, 2024",1h 40m,Mission: Cross,,,,,
Caden Douglas,"Michael Lomenda,Matt Schichter",Caden Douglas,Gravitas Ventures,HighballTV,,"Comedy,Horror,Mystery & Thriller",English,,"Oct 8, 2024",1h 25m,Mother Father Sister Brother Frank,,,,,
